"nn_size_l1","nn_size_l2","nn_size_l3","accuraccy_test","accuracy_training","time_training","time_eval"
80,40,20,0.9175,0.97162037037037,902.562414646149,0.373726844787598
80,40,20,0.904166666666667,0.961481481481481,892.089493989944,0.378901243209839
80,40,20,0.913333333333333,0.958657407407407,874.431439399719,0.367404937744141
80,40,20,0.920416666666667,0.975324074074074,873.416506290436,0.371241807937622
80,40,20,0.935833333333333,0.979166666666667,893.395701169968,0.387972116470337
80,40,20,0.92625,0.974861111111111,889.206331014633,0.381707906723022
80,40,20,0.925833333333333,0.969444444444444,886.136608123779,0.383941411972046
80,40,20,0.915,0.953472222222222,884.38632106781,0.397579431533813
80,40,20,0.90625,0.952592592592593,877.988122701645,0.376689195632935
80,40,20,0.897083333333333,0.941111111111111,882.008527994156,0.380293130874634
60,40,20,0.9325,0.979583333333333,666.801841497421,0.330982446670532
60,40,20,0.912083333333333,0.963333333333333,668.635009288788,0.333698987960815
60,40,20,0.92,0.97537037037037,678.042530059814,0.353520631790161
60,40,20,0.910416666666667,0.956805555555556,663.702271223068,0.328502893447876
60,40,20,0.920833333333333,0.971388888888889,674.24104309082,0.338136434555054
60,40,20,0.91375,0.955787037037037,679.205638408661,0.356615543365479
60,40,20,0.891666666666667,0.943194444444444,667.717271089554,0.334117650985718
60,40,20,0.924583333333333,0.966481481481481,671.787900209427,0.337294578552246
60,40,20,0.907083333333333,0.963101851851852,656.672050952911,0.342983722686768
60,40,20,0.914583333333333,0.96087962962963,661.39179444313,0.334872245788574
50,30,14,0.92,0.965185185185185,523.478694915771,0.29685115814209
50,30,14,0.8425,0.884537037037037,529.804349184036,0.293899774551392
50,30,14,0.906666666666667,0.94037037037037,530.119935750961,0.307860136032104
50,30,14,0.869583333333333,0.928981481481482,541.789663076401,0.301799535751343
50,30,14,0.90375,0.95412037037037,530.850678443909,0.297139883041382
50,30,14,0.88125,0.936388888888889,527.490654230118,0.298473119735718
50,30,14,0.897916666666667,0.946157407407407,533.904323816299,0.295146703720093
50,30,14,0.890416666666667,0.948240740740741,526.382750272751,0.295435190200806
50,30,14,0.905416666666667,0.954398148148148,537.258865356445,0.299087524414062
50,30,14,0.89875,0.95087962962963,561.150436878204,0.319262027740479
